gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
4522784239				CC_BY_4_0	2024-02-12T14:45:11Z		https://www.inaturalist.org/observations/199074251	Marina Bazilio Milford					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/199074251	199074251		Marina Bazilio Milford															PRESENT								look like Dynastor darius															2024-02-07T01:33	01:33:00-03:00	38	38	2024	2	7	2024/02/07 01:33											SOUTH_AMERICA				BR	Rio Grande do Sul				Quinta, Rio Grande - RS, Brasil								-32.071355	-52.258144	1520.0																															450738934				Aaron Soh		2024-02-12T05:57:39				258032								Dynastor darius (Fabricius, 1775)								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor	Dynastor			darius			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-04-21T18:02:05.189Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	1896087	1896087	1	54	216	797	7017	1896080		1896087	Dynastor darius	Dynastor darius (Fabricius, 1775)	Dynastor darius		DWC_ARCHIVE	2024-04-21T18:02:05.189Z	2024-04-21T08:18:21.750Z	true			false	LATIN_AMERICA	NORTH_AMERICA	BRA	Brazil	BRA.21_1	Rio Grande do Sul	BRA.21.346_2	Rio Grande			NE
4522751139				CC_BY_NC_4_0	2024-02-12T14:15:45Z		https://www.inaturalist.org/observations/199067139	lartigau					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/199067139	199067139		lartigau															PRESENT																							2024-02-11T11:41:50	11:41:50-03:00	42	42	2024	2	11	2024-02-11 11:41:50-03:00											SOUTH_AMERICA				BR	Santa Catarina				Rua Osório Pio do Nascimento, Garopaba, SC, BR								-27.974122	-48.63007	144.0																															450706115				lartigau		2024-02-12T02:59:07				258032								Dynastor darius (Fabricius, 1775)								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor	Dynastor			darius			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	AR	2024-04-21T17:37:03.855Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	1896087	1896087	1	54	216	797	7017	1896080		1896087	Dynastor darius	Dynastor darius (Fabricius, 1775)	Dynastor darius		DWC_ARCHIVE	2024-04-21T17:37:03.855Z	2024-04-21T08:18:21.750Z	true			false	LATIN_AMERICA	LATIN_AMERICA	BRA	Brazil	BRA.24_1	Santa Catarina	BRA.24.96_2	Garopaba			NE
4510019785				CC_BY_NC_4_0	2024-01-04T15:49:01Z		https://www.inaturalist.org/observations/145754322	Juan Buseghin					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/145754322	145754322		Juan Buseghin						Adult									PRESENT																							2022-12-17T20:22:25	20:22:25-03:00	351	351	2022	12	17	2022-12-17 20:22:25											SOUTH_AMERICA				AR	Santa Fe				General Obligado, AR-SF, AR								-28.730513	-59.45242	5.0																															373994716				Aaron Soh		2023-06-12T17:36:34				258032								Dynastor darius (Fabricius, 1775)								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor	Dynastor			darius			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-04-21T17:56:11.102Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	1896087	1896087	1	54	216	797	7017	1896080		1896087	Dynastor darius	Dynastor darius (Fabricius, 1775)	Dynastor darius		DWC_ARCHIVE	2024-04-21T17:56:11.102Z	2024-04-21T08:18:21.750Z	true			false	LATIN_AMERICA	NORTH_AMERICA	ARG	Argentina	ARG.21_1	Santa Fe	ARG.21.7_1	General Obligado			NE
4458542409				CC_BY_NC_4_0	2023-12-05T15:25:24Z		https://www.inaturalist.org/observations/193117472	tresg					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/193117472	193117472		tresg															PRESENT																							2023-11-28T11:35	11:35:00-03:00	332	332	2023	11	28	2023/11/28 11:35 AM											SOUTH_AMERICA				AR	Tucumán				Yerba Buena, Tucumán, Argentina								-26.800513	-65.317962	31.0																															432521697				Aaron Soh		2023-12-05T11:43:26				258032								Dynastor darius (Fabricius, 1775)								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor	Dynastor			darius			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	AR	2024-04-21T17:59:21.975Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	1896087	1896087	1	54	216	797	7017	1896080		1896087	Dynastor darius	Dynastor darius (Fabricius, 1775)	Dynastor darius		DWC_ARCHIVE	2024-04-21T17:59:21.975Z	2024-04-21T08:18:21.750Z	false			false	LATIN_AMERICA	LATIN_AMERICA	ARG	Argentina	ARG.24_1	Tucumán	ARG.24.17_1	Yerba Buena			NE
4458469869				CC_BY_NC_4_0	2023-12-05T02:44:01Z		https://www.inaturalist.org/observations/192887385	Randall Jiménez					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/192887385	192887385		Randall Jiménez						Larva									PRESENT																							2023-12-01T18:48	18:48:00-06:00	335	335	2023	12	1	2023/12/01 6:48 PM											NORTH_AMERICA				CR	Puntarenas				Provincia de Puntarenas, Coto Brus, Linda Vista, Costa Rica								8.811437	-82.961121	8.0																															431863352				Randall Jiménez		2023-12-03T03:28:39				258032								Dynastor darius (Fabricius, 1775)								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor	Dynastor			darius			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-04-21T18:01:58.319Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	1896087	1896087	1	54	216	797	7017	1896080		1896087	Dynastor darius	Dynastor darius (Fabricius, 1775)	Dynastor darius		DWC_ARCHIVE	2024-04-21T18:01:58.319Z	2024-04-21T08:18:21.750Z	true			false	LATIN_AMERICA	NORTH_AMERICA	CRI	Costa Rica	CRI.6_1	Puntarenas	CRI.6.4_1	Coto Brus	CRI.6.4.6_1	San Vito	NE
4440802736				CC_BY_NC_4_0	2023-11-14T22:18:12Z		https://www.inaturalist.org/observations/191037227	Gilberto S. S. Almeida					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/191037227	191037227		Gilberto S. S. Almeida						Adult									PRESENT																							2023-11-14T18:16	18:16:00-03:00	318	318	2023	11	14	2023/11/14 18:16											SOUTH_AMERICA				BR	Rio de Janeiro				Laranjeiras, Rio de Janeiro - RJ, Brasil								-22.9308	-43.189669	2.0																															426917621				Gilberto S. S. Almeida		2023-11-14T22:08:08				1056863								Dynastor darius darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor	Dynastor			darius	darius		SUBSPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-04-21T17:35:14.401Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	7207285	7207285	1	54	216	797	7017	1896080		1896087	Dynastor darius	Dynastor darius darius	Dynastor darius darius		DWC_ARCHIVE	2024-04-21T17:35:14.401Z	2024-04-21T08:18:21.750Z	true			false	LATIN_AMERICA	NORTH_AMERICA	BRA	Brazil	BRA.19_1	Rio de Janeiro	BRA.19.68_2	Rio de Janeiro			
4438949869				CC_BY_NC_4_0	2023-11-05T16:44:57Z		https://www.inaturalist.org/observations/189899831	Gilberto S. S. Almeida					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/189899831	189899831		Gilberto S. S. Almeida						Pupa									PRESENT								-22.930792 -43.189623															2023-11-03T14:42	14:42:00-03:00	307	307	2023	11	3	2023/11/03 14:42											SOUTH_AMERICA				BR	Rio de Janeiro				Rua Pereira da Silva, Laranjeiras, Rio de Janeiro - RJ, Brasil								-22.930803	-43.189638	2.0																															423957970				Gilberto S. S. Almeida		2023-11-03T23:00:36				1056863								Dynastor darius darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor	Dynastor			darius	darius		SUBSPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-04-21T17:34:44.697Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	7207285	7207285	1	54	216	797	7017	1896080		1896087	Dynastor darius	Dynastor darius darius	Dynastor darius darius		DWC_ARCHIVE	2024-04-21T17:34:44.697Z	2024-04-21T08:18:21.750Z	true			false	LATIN_AMERICA	NORTH_AMERICA	BRA	Brazil	BRA.19_1	Rio de Janeiro	BRA.19.68_2	Rio de Janeiro			
4438810450				CC_BY_NC_4_0	2023-11-26T13:01:40Z		https://www.inaturalist.org/observations/189899829	Gilberto S. S. Almeida					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/189899829	189899829		Gilberto S. S. Almeida						Pupa									PRESENT								-22.930792 -43.189623															2023-11-03T14:41	14:41:00-03:00	307	307	2023	11	3	2023/11/03 14:41											SOUTH_AMERICA				BR	Rio de Janeiro				Laranjeiras, Rio de Janeiro - RJ, Brasil								-22.931022	-43.189542																																423957966				Gilberto S. S. Almeida		2023-11-03T23:00:36				1056863								Dynastor darius darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor	Dynastor			darius	darius		SUBSPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-04-21T17:58:44.732Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	7207285	7207285	1	54	216	797	7017	1896080		1896087	Dynastor darius	Dynastor darius darius	Dynastor darius darius		DWC_ARCHIVE	2024-04-21T17:58:44.732Z	2024-04-21T08:18:21.750Z	true			false	LATIN_AMERICA	NORTH_AMERICA	BRA	Brazil	BRA.19_1	Rio de Janeiro	BRA.19.68_2	Rio de Janeiro			
4438743667				CC_BY_NC_4_0	2024-03-03T17:11:51Z		https://www.inaturalist.org/observations/189899833	Gilberto S. S. Almeida					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/189899833	189899833		Gilberto S. S. Almeida						Larva									PRESENT								Encontrada no muro desse endereço:-22.930792 -43.189623															2023-10-28		301	301	2023	10	28	2023-10-28											SOUTH_AMERICA				BR	Rio de Janeiro				Rua Pereira da Silva, Laranjeiras, Rio de Janeiro, RJ								-22.930792	-43.189623	123845.0																															423957973				Gilberto S. S. Almeida		2023-11-03T23:00:37				1056863								Dynastor darius darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor	Dynastor			darius	darius		SUBSPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-04-21T17:35:13.194Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	7207285	7207285	1	54	216	797	7017	1896080		1896087	Dynastor darius	Dynastor darius darius	Dynastor darius darius		DWC_ARCHIVE	2024-04-21T17:35:13.194Z	2024-04-21T08:18:21.750Z	true			false	LATIN_AMERICA	NORTH_AMERICA	BRA	Brazil	BRA.19_1	Rio de Janeiro	BRA.19.68_2	Rio de Janeiro			
4438688766				CC_BY_NC_4_0	2023-11-04T18:16:35Z		https://www.inaturalist.org/observations/189899832	Gilberto S. S. Almeida					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/189899832	189899832		Gilberto S. S. Almeida						Larva									PRESENT								Encontrada no muro desse endereço: -22.930792 -43.189623															2023-10-28T19:45	19:45:00-03:00	301	301	2023	10	28	2023/10/28 19:45											SOUTH_AMERICA				BR	Rio de Janeiro				Laranjeiras, Rio de Janeiro - RJ, Brasil								-22.930793	-43.189623	2.0																															423957971				Gilberto S. S. Almeida		2023-11-03T23:00:36				1056863								Dynastor darius darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor	Dynastor			darius	darius		SUBSPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-04-21T17:35:05.100Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	7207285	7207285	1	54	216	797	7017	1896080		1896087	Dynastor darius	Dynastor darius darius	Dynastor darius darius		DWC_ARCHIVE	2024-04-21T17:35:05.100Z	2024-04-21T08:18:21.750Z	true			false	LATIN_AMERICA	NORTH_AMERICA	BRA	Brazil	BRA.19_1	Rio de Janeiro	BRA.19.68_2	Rio de Janeiro			
