gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
4522784239				http://creativecommons.org/licenses/by/4.0/	2024-02-12T14:45:11Z		https://www.inaturalist.org/observations/199074251	Marina Bazilio Milford					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/199074251	199074251		Marina Bazilio Milford																								look like Dynastor darius															2024-02-07T01:33:00-03:00	01:33:00-03:00						2024/02/07 01:33																BR	Rio Grande do Sul				Quinta, Rio Grande - RS, Brasil												-32.0713549638	-52.2581441841	EPSG:4326	1520																																		450738934				Aaron Soh		2024-02-12T05:57:39Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4522751139				http://creativecommons.org/licenses/by-nc/4.0/	2024-02-12T14:15:45Z		https://www.inaturalist.org/observations/199067139	lartigau					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/199067139	199067139		lartigau																																							2024-02-11T11:41:50-03:00	11:41:50-03:00						2024-02-11 11:41:50-03:00																BR	Santa Catarina				Rua Osório Pio do Nascimento, Garopaba, SC, BR												-27.9741224286	-48.6300695267	EPSG:4326	144																																		450706115				lartigau		2024-02-12T02:59:07Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4510019785				http://creativecommons.org/licenses/by-nc/4.0/	2024-01-04T15:49:01Z		https://www.inaturalist.org/observations/145754322	Juan Buseghin					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/145754322	145754322		Juan Buseghin						adult																																	2022-12-17T20:22:25-03:00	20:22:25-03:00						2022-12-17 20:22:25																AR	Santa Fe				General Obligado, AR-SF, AR												-28.7305125884	-59.4524204358	EPSG:4326	5																																		373994716				Aaron Soh		2023-06-12T17:36:34Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4458542409				http://creativecommons.org/licenses/by-nc/4.0/	2023-12-05T15:25:24Z		https://www.inaturalist.org/observations/193117472	tresg					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/193117472	193117472		tresg																																							2023-11-28T11:35:00-03:00	11:35:00-03:00						2023/11/28 11:35 AM																AR	Tucumán				Yerba Buena, Tucumán, Argentina												-26.8005128875	-65.3179617435	EPSG:4326	31																																		432521697				Aaron Soh		2023-12-05T11:43:26Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4458469869				http://creativecommons.org/licenses/by-nc/4.0/	2023-12-05T02:44:01Z		https://www.inaturalist.org/observations/192887385	Randall Jiménez					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/192887385	192887385		Randall Jiménez						larva																																	2023-12-01T18:48:00-06:00	18:48:00-06:00						2023/12/01 6:48 PM																CR	Puntarenas				Provincia de Puntarenas, Coto Brus, Linda Vista, Costa Rica												8.8114374858	-82.9611211309	EPSG:4326	8																																		431863352				Randall Jiménez		2023-12-03T03:28:39Z				258032								Dynastor darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							species							
4440802736				http://creativecommons.org/licenses/by-nc/4.0/	2023-11-14T22:18:12Z		https://www.inaturalist.org/observations/191037227	Gilberto S. S. Almeida					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/191037227	191037227		Gilberto S. S. Almeida						adult																																	2023-11-14T18:16:00-03:00	18:16:00-03:00						2023/11/14 18:16																BR	Rio de Janeiro				Laranjeiras, Rio de Janeiro - RJ, Brasil												-22.9307995133	-43.1896686958	EPSG:4326	2																																		426917621				Gilberto S. S. Almeida		2023-11-14T22:08:08Z				1056863								Dynastor darius darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							subspecies							
4438949869				http://creativecommons.org/licenses/by-nc/4.0/	2023-11-05T16:44:57Z		https://www.inaturalist.org/observations/189899831	Gilberto S. S. Almeida					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/189899831	189899831		Gilberto S. S. Almeida						pupa																		-22.930792 -43.189623															2023-11-03T14:42:00-03:00	14:42:00-03:00						2023/11/03 14:42																BR	Rio de Janeiro				Rua Pereira da Silva, Laranjeiras, Rio de Janeiro - RJ, Brasil												-22.9308033538	-43.1896378502	EPSG:4326	2																																		423957970				Gilberto S. S. Almeida		2023-11-03T23:00:36Z				1056863								Dynastor darius darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							subspecies							
4438810450				http://creativecommons.org/licenses/by-nc/4.0/	2023-11-26T13:01:40Z		https://www.inaturalist.org/observations/189899829	Gilberto S. S. Almeida					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/189899829	189899829		Gilberto S. S. Almeida						pupa																		-22.930792 -43.189623															2023-11-03T14:41:00-03:00	14:41:00-03:00						2023/11/03 14:41																BR	Rio de Janeiro				Laranjeiras, Rio de Janeiro - RJ, Brasil												-22.9310222222	-43.1895416667	EPSG:4326																																			423957966				Gilberto S. S. Almeida		2023-11-03T23:00:36Z				1056863								Dynastor darius darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							subspecies							
4438743667				http://creativecommons.org/licenses/by-nc/4.0/	2024-03-03T17:11:51Z		https://www.inaturalist.org/observations/189899833	Gilberto S. S. Almeida					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/189899833	189899833		Gilberto S. S. Almeida						larva																		Encontrada no muro desse endereço:-22.930792 -43.189623															2023-10-28							2023-10-28																BR	Rio de Janeiro				Rua Pereira da Silva, Laranjeiras, Rio de Janeiro, RJ												-22.930792	-43.189623	EPSG:4326	123845																																		423957973				Gilberto S. S. Almeida		2023-11-03T23:00:37Z				1056863								Dynastor darius darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							subspecies							
4438688766				http://creativecommons.org/licenses/by-nc/4.0/	2023-11-04T18:16:35Z		https://www.inaturalist.org/observations/189899832	Gilberto S. S. Almeida					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/189899832	189899832		Gilberto S. S. Almeida						larva																		Encontrada no muro desse endereço: -22.930792 -43.189623															2023-10-28T19:45:00-03:00	19:45:00-03:00						2023/10/28 19:45																BR	Rio de Janeiro				Laranjeiras, Rio de Janeiro - RJ, Brasil												-22.9307925463	-43.1896234263	EPSG:4326	2																																		423957971				Gilberto S. S. Almeida		2023-11-03T23:00:36Z				1056863								Dynastor darius darius								Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				Dynastor							subspecies							
